Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Deep brain stimulation: Expanding applications,Tekriwal A.; Baltuch G. ,"For over two decades, deep brain stimulation (DBS) has shown significant efficacy in treatment for refractory cases of dyskinesia, specifically in cases of Parkinson's disease and dystonia. DBS offers potential alleviation from symptoms through a well-tolerated procedure that allows personalized modulation of targeted neuroanatomical regions and related circuitries. For clinicians contending with how to provide patients with meaningful alleviation from often debilitating intractable disorders, DBSs titratability and reversibility make it an attractive treatment option for indications ranging from traumatic brain injury to progressive epileptic supra-synchrony. The expansion of our collective knowledge of pathologic brain circuitries, as well as advances in imaging capabilities, electrophysiology techniques, and material sciences have contributed to the expanding application of DBS. This review will examine the potential efficacy of DBS for neurologic and psychiatric disorders currently under clinical investigation and will summarize findings from recent animal models.Copyright © 2015, Japan Neurosurgical Society. All rights reserved.",2015,/,Neurologia Medico-Chirurgica,55,12,861-877,,https://dx.doi.org/10.2176/nmc.ra.2015-0172,607282642,#123,Tekriwal 2015,"",non_specific; obesity; review
Deep brain stimulation in mental health: Review of evidence for clinical efficacy,Fitzgerald P.B.; Segrave R.A. ,"Objective: There is increasing interest in the use of deep brain stimulation as a treatment for psychiatric disorders. In this review, we consider the evidence for the effectiveness of deep brain stimulation for psychiatric indications, with a primary focus on obsessive compulsive disorder and major depressive disorder. Method(s): Case reports, case series and clinical trials where deep brain stimulation was primarily utilised in the treatment of a psychiatric disorder, including obsessive compulsive disorder, major depressive disorder, anorexia nervosa or an addictive disorder were identified. The evidence for the effectiveness of deep brain stimulation in the treatment of obsessive compulsive disorder and major depressive disorder was reviewed with studies clustered by the site of implantation. Result(s): The majority of identified manuscripts report small case series or single cases. A limited number of studies have reported some form of randomised or blinded stimulation comparison. All of these comparative reports have included small samples of subjects (less than 20 per study in total) compromising the feasibility of making statistical comparison between outcomes in the comparison phases. The two exceptions to this have been industry-sponsored studies conducted in the treatment of major depressive disorder. However, both were stopped prematurely due to concerns about poor efficacy. Conclusion(s): There is insufficient evidence at this point in time to support the use of deep brain stimulation as a clinical treatment for any psychiatric disorder outside of research and programmes where formal outcome data are being systematically collated. While some promising initial data exist to support its potential efficacy for a number of psychiatric conditions, further research is required to establish optimal implantation targets, patient characteristics associated with positive therapeutic outcomes and optimal deep brain stimulation parameters and parameter-programming methods.Copyright © 2015 The Royal Australian and New Zealand College of Psychiatrists 2015.",2015,/,Australian and New Zealand Journal of Psychiatry,49,11,979-993,,https://dx.doi.org/10.1177/0004867415598011,606728095,#124,Fitzgerald 2015,"",anorexia; non_specific; review
Deep brain stimulation for obesity: rationale and approach to trial design,Ho A.L.; Sussman E.S.; Pendharkar A.V.; Azagury D.E.; Bohon C.; Halpern C.H. ,"Obesity is one of the most serious public health concerns in the US. While bariatric surgery has been shown to be successful for treatment of morbid obesity for those who have undergone unsuccessful behavioral modification, its associated risks and rates of relapse are not insignificant. There exists a neurological basis for the binge-like feeding behavior observed in morbid obesity that is believed to be due to dysregulation of the reward circuitry. The authors present a review of the evidence of the neuroanatomical basis for obesity, the potential neural targets for deep brain stimulation (DBS), as well as a rationale for DBS and future trial design. Identification of an appropriate patient population that would most likely benefit from this type of therapy is essential. There are also significant cost and ethical considerations for such a neuromodulatory intervention designed to alter maladaptive behavior. Finally, the authors present a consolidated set of inclusion criteria and study end points that should serve as the basis for any trial of DBS for obesity.",2015,/,Neurosurgical focus,38,6,E8,,https://dx.doi.org/10.3171/2015.3.FOCUS1538,609676993,#130,Ho 2015,"",obesity; review
Neuromodulation for Eating Disorders. Obesity and Anorexia,Gorgulho A.A.; Pereira J.L.B.; Krahl S.; Lemaire J.-J.; De Salles A. ,"Extremes of eating disorders (ED) have become prevalent in both developed and developing countries. Available therapies, though largely effective, fail in a substantial number of patients and carry considerable side effects. Morbid obesity and anorexia nervosa (AN) represent important causes of morbidity and mortality among young adults. Morbid obesity affects disproportionate numbers of children. AN is also important for its high mortality in young adults. The challenges of effectively treating AN are well recognized. In this article, important aspects of ED are reviewed in detail and novel approaches to the treatment of ED are proposed. © 2014 Elsevier Inc.",2014,/,Neurosurgery Clinics of North America,25,1,147-157,,https://dx.doi.org/10.1016/j.nec.2013.08.005,52834040,#140,Gorgulho 2014,"",anorexia; non_specific; obesity; review
"Future of brain stimulation: New targets, new indications, new technology",Hariz M.; Blomstedt P.; Zrinzo L. ,"In the last quarter of a century, DBS has become an established neurosurgical treatment for Parkinson's disease (PD), dystonia, and tremors. Improved understanding of brain circuitries and their involvement in various neurological and psychiatric illnesses, coupled with the safety of DBS and its exquisite role as a tool for ethical study of the human brain, have unlocked new opportunities for this technology, both for future therapies and in research. Serendipitous discoveries and advances in structural and functional imaging are providing abundant ""new"" brain targets for an ever-increasing number of pathologies, leading to investigations of DBS in diverse neurological, psychiatric, behavioral, and cognitive conditions. Trials and ""proof of concept"" studies of DBS are underway in pain, epilepsy, tinnitus, OCD, depression, and Gilles de la Tourette syndrome, as well as in eating disorders, addiction, cognitive decline, consciousness, and autonomic states. In parallel, ongoing technological development will provide pulse generators with longer battery longevity, segmental electrode designs allowing a current steering, and the possibility to deliver ""on-demand"" stimulation based on closed-loop concepts. The future of brain stimulation is certainly promising, especially for movement disorders-that will remain the main indication for DBS for the foreseeable future-and probably for some psychiatric disorders. However, brain stimulation as a technique may be at risk of gliding down a slippery slope: Some reports indicate a disturbing trend with suggestions that future DBS may be proposed for enhancement of memory in healthy people, or as a tool for ""treatment"" of ""antisocial behavior"" and for improving ""morality"". © 2013 Movement Disorder Society.",2013,/,Movement Disorders,28,13,1784-1792,,https://dx.doi.org/10.1002/mds.25665,52817879,#143,Hariz 2013,"",anorexia; non_specific; obesity; review
A systematic review of the effects of neuromodulation on eating and body weight: Evidence from human and animal studies,McClelland J.; Bozhilova N.; Campbell I.; Schmidt U. ,"Background Eating disorders (ED) are chronic and sometimes deadly illnesses. Existing treatments have limited proven efficacy, especially in the case of adults with anorexia nervosa (AN). Emerging neural models of ED provide a rationale for more targeted, brain-directed interventions. Aims This systematic review has examined the effects of neuromodulation techniques on eating behaviours and body weight and assessed their potential for therapeutic use in ED. Method All articles in PubMed, PsychInfo and Web of Knowledge were considered and screened against a priori inclusion/exclusion criteria. The effects of repetitive transcranial magnetic stimulation (rTMS), transcranial direct current stimulation, vagus nerve stimulation (VNS) and deep brain stimulation (DBS) were examined across studies in ED samples, other psychiatric and neurological disorders, and animal models. Results Sixty studies were identified. There is evidence for ED symptom reduction following rTMS and DBS in both AN and bulimia nervosa. Findings from studies of other psychiatric and neurological disorders and from animal studies demonstrate that increases in food intake and body weight can be achieved following DBS and that VNS has potential value as a means of controlling eating and inducing weight loss. Conclusions Neuromodulation tools have potential for reducing ED symptomatology and related behaviours, and for altering food intake and body weight. In response to such findings, and emerging neural models of ED, treatment approaches are highly unlikely to remain 'brainless'. More research is required to evaluate the potential of neuromodulation procedures for improving long-term outcomes in ED. Copyright © 2013 John Wiley & Sons, Ltd and Eating Disorders Association. Copyright © 2013 John Wiley & Sons, Ltd and Eating Disorders Association.",2013,/,European Eating Disorders Review,21,6,436-455,,https://dx.doi.org/10.1002/erv.2256,52814747,#148,McClelland 2013,"",anorexia; non_specific; obesity; review
Deep-Brain stimulation for anorexia nervosa,Wu H.; Van Dyck-Lippens P.J.; Santegoeds R.; Van Kuyck K.; Gabriels L.; Lin G.; Pan G.; Li Y.; Li D.; Zhan S.; Sun B.; Nuttin B. ,"Objective: Anorexia nervosa (AN) is a complex and severe, sometimes life-threatening, psychiatric disorder with high relapse rates under standard treatment. After decades of brain-lesioning procedures offered as a last resort, deep-brain stimulation (DBS) has come under investigation in the last few years as a treatment option for severe and refractory AN. Methods and Results: In this jointly written article, Sun et al. (the Shanghai group) report an average of 65% increase in body weight in four severe and refractory patients with AN after they underwent the DBS procedure (average follow-up: 38 months). All patients weighed greater than 85% of expected body weight and thus no longer met the diagnostic criteria of AN at last follow-up. Nuttin et al. (the Leuven group) describe other clinical studies that provide evidence for the use of DBS for AN and further discuss patient selection criteria, target selection, and adverse event of this evolving therapy. Conclusion(s): Preliminary results from the Shanghai group and other clinical centers showed that the use of DBS to treat AN may be a valuable option for weight restoration in otherwise-refractory and life-threatening cases. The nature of this procedure, however, remains investigational and should not be viewed as a standard clinical treatment option. Further scientific investigation is essential to warrant the long-term efficacy and safety of DBS for AN. © 2013 Elsevier Inc. All rights reserved.",2013,/,World Neurosurgery,80,3-4,e1-S29,,https://dx.doi.org/10.1016/j.wneu.2012.06.039,52491982,#150,Wu 2013,"",anorexia; review
Neurosurgical treatment of anorexia nervosa: Review of the literature from leucotomy to deep brain stimulation,Lipsman N.; Woodside D.B.; Giacobbe P.; Lozano A.M. ,"This paper reviews the literature on the surgical treatment of refractory anorexia nervosa (AN) and examines how this literature can inform current circuit models of the disease. The literature contains reports of 35 patients undergoing a neurosurgical procedure for the specific treatment of refractory AN, with the first reported operation, a lobotomy, in 1950. All patients were deemed treatment resistant according to contemporary standards, with the nature of the procedure changing with evolving surgical techniques and methods. All procedures targeted the limbic system and, in a majority of cases, were associated with reported symptomatic improvement. Neurosurgery in AN has been, and continues to be, reserved for patients with chronic and life-threatening illness, for whom conventional treatment has failed. Early procedures, which were viewed as life-saving measures, were crude by today's standards but targeted anatomic structures and pathways implicated in modern models of AN. The last decade has seen a concerted effort in elucidating the neurocircuitry underlying prominent etiologic and maintaining factors in AN, including mood, anxiety and dysfunctional reward processing. This has translated into the development of novel, focused therapeutic options for patients with treatment-refractory AN. Copyright © 2013 John Wiley & Sons, Ltd and Eating Disorders Association. Copyright © 2013 John Wiley & Sons, Ltd and Eating Disorders Association.",2013,/,European Eating Disorders Review,21,6,428-435,,https://dx.doi.org/10.1002/erv.2246,52694455,#152,Lipsman 2013,"",anorexia; maybe; non_specific; review
Is deep brain stimulation a treatment option for anorexia nervosa?,Oudijn M.S.; Storosum J.G.; Nelis E.; Denys D. ,"Anorexia nervosa (AN) is a severe psychiatric disorder with high rates of morbidity, comorbidity and mortality, which in a subset of patients (21%) takes on a chronic course. Since an evidence based treatment for AN is scarce, it is crucial to investigate new treatment options, preferably focused on influencing the underlying neurobiological mechanisms of AN. The objective of the present paper was to review the evidence for possible neurobiological correlates of AN, and to hypothesize about potential targets for Deep brain stimulation (DBS) as a treatment for chronic, therapy-refractory AN. One avenue for exploring new treatment options based on the neurobiological correlates of AN, is the search for symptomatologic and neurobiologic parallels between AN and other compulsivity- or reward-related disorders. As in other compulsive disorders, the fronto-striatal circuitry, in particular the insula, the ventral striatum (VS) and the prefrontal, orbitofrontal, temporal, parietal and anterior cingulate cortices, are likely to be implicated in the neuropathogenesis of AN. In this paper we will review the few available cases in which DBS has been performed in patients with AN (either as primary diagnosis or as comorbid condition). Given the overlap in symptomatology and neurocircuitry between reward-related disorders such as obsessive compulsive disorder (OCD) and AN, and the established efficacy of accumbal DBS in OCD, we hypothesize that DBS of the nucleus accumbens (NAc) and other areas associated with reward, e.g. the anterior cingulated cortex (ACC), might be an effective treatment for patients with chronic, treatment refractory AN, providing not only weight restoration, but also significant and sustained improvement in AN core symptoms and associated comorbidities and complications. Possible targets for DBS in AN are the ACC, the ventral anterior limb of the capsula interna (vALIC) and the VS. We suggest conducting larger efficacy studies that also explore the functional effects of DBS in AN. © 2013 Oudijn et al.; licensee BioMed Central Ltd.",2013,/,BMC Psychiatry,13,"(Oudijn, Storosum, Nelis, Denys) Department of Psychiatry, Academic Medical Centre, University of Amsterdam, Meibergdreef 5, 1105 AZ Amsterdam, Netherlands(Denys) Netherlands Institute for Neuroscience, Institute of the Royal Netherlands Academy of Arts a",277,,https://dx.doi.org/10.1186/1471-244X-13-277,52848617,#158,Oudijn 2013,"",anorexia; review
Deep brain stimulation for obesity-from theoretical foundations to designing the first human pilot study,Tomycz N.D.; Whiting D.M.; Oh M.Y. ,"Obesity is perhaps an evolutionary consequence of a species reared with intermittent caloric reward. Humans are hardwired to enjoy food, and our bodies voraciously extract and store energy from food as if each meal was the last. As an amalgam of behavioral and metabolic disturbance, obesity is an attractive target for deep brain stimulation (DBS) since neuromodulation may be able to influence both eating behavior and metabolism. The current pandemic proportions of obesity combined with the failures and morbidity of modern treatments remain the impetus behind the application of DBS to this complex disease. We review the rationale and scientific foundations for obesity DBS and explain how this preclinical evidence has helped sculpt the design of the first human pilot study. © Springer-Verlag 2011.",2012,/,Neurosurgical Review,35,1,37-43,,https://dx.doi.org/10.1007/s10143-011-0359-9,51666996,#160,Tomycz 2012,"",obesity; review
Obesity and brain addiction circuitry: Implications for deep brain stimulation,Taghva A.; Corrigan J.D.; Rezai A.R. ,"Obesity is a growing health problem worldwide and is responsible for a significant proportion of health expenditures in developed nations. It is also notoriously difficult to treat. Prior attempts at pharmacological or neurological modulation, including deep brain stimulation, have primarily targeted homeostatic mechanisms of weight control centered in the hypothalamus. To date, these attempts have had limited success. Multiple lines of independent data suggest that dysregulated reward circuitry in the brain underlies behaviors leading to obesity. Here, we review the existing data and related neurocircuitry, as well as the scope of obesity and currently available treatments. Finally, we suggest a neuromodulation strategy geared toward regulating these dysfunctional circuits, primarily by alteration of frontolimbic circuits. Copyright © 2012 by the Congress of Neurological Surgeons.",2012,/,Neurosurgery,71,2,224-238,,https://dx.doi.org/10.1227/NEU.0b013e31825972ab,51968108,#166,Taghva 2012,"",obesity; review
Deep brain stimulation: Current and future clinical applications,Lyons M.K. ,"Deep brain stimulation (DBS) has developed during the past 20 years as a remarkable treatment option for several different disorders. Advances in technology and surgical techniques have essentially replaced ablative procedures for most of these conditions. Stimulation of the ventralis intermedius nucleus of the thalamus has clearly been shown to markedly improve tremor control in patients with essential tremor and tremor related to Parkinson disease. Symptoms of bradykinesia, tremor, gait disturbance, and rigidity can be significantly improved in patients with Parkinson disease. Because of these improvements, a decrease in medication can be instrumental in reducing the disabling features of dyskinesias in such patients. Primary dystonia has been shown to respond well to DBS of the globus pallidus internus. The success of these procedures has led to application of these techniques to multiple other debilitating conditions such as neuropsychiatric disorders, intractable pain, epilepsy, camptocormia, headache, restless legs syndrome, and Alzheimer disease. The literature analysis was performed using a MEDLINE search from 1980 through 2010 with the term deep brain stimulation, and several double-blind and larger case series were chosen for inclusion in this review. The exact mechanism of DBS is not fully understood. This review summarizes many of the current and potential future clinical applications of this technology. © 2011 Mayo Foundation for Medical Education and Research.",2011,/,Mayo Clinic Proceedings,86,7,662-672,,https://dx.doi.org/10.4065/mcp.2011.0045,362038604,#174,Lyons 2011,"",non_specific; obesity; review
Rationale for hypothalamus-deep brain stimulation in food intake disorders and obesity,Torres N.; Chabardes S.; Benabid A.L. ,"Appetite modulation in conjunction with enhancing metabolic rate with hypothalamic lesions has been widely documented in animal and even in humans. It appears these effects can be reproduced by DBS, and the titratability and reversibility of this procedure, in addition to well established safety profile, make DBS an appealing option for obesity treatment. Targeting the hypothalamus with DBS has already been shown to be feasible and potentially effective in managing patients with intractable chronic cluster headache [26]. The surgical risk however must be cautiously taken into account when targeting the hypothalamus, where some mortality cases have been reported when targeting the posterior part [34]. The development of new surgical approach will probably reduce this surgical risk. Moreover, the role of functional neurosurgery in obesity is not a new idea. In fact, LH was targeted in obese humans with electrocoagulation more than 30 years ago, resulting in significant yet transient appetite suppression and slight weight reduction [36]. All those elements have made possible the recent regain of interest in DBS for morbid obesity and open an exciting new area of research in neurosurgery and endocrinology.",2011,/,Advances and technical standards in neurosurgery,36,"(Torres) CEA CLINATEC, Grenoble, France.",17-30,,,560080678,#177,Torres 2011,"",obesity; review
Deep brain stimulation compared with bariatric surgery for the treatment of morbid obesity: a decision analysis study,Pisapia J.M.; Halpern C.H.; Williams N.N.; Wadden T.A.; Baltuch G.H.; Stein S.C. ,"OBJECT: Roux-en-Y gastric bypass is the gold standard treatment for morbid obesity, although failure rates may be high, particularly in patients with a BMI > 50 kg/m(2). With improved understanding of the neuropsychiatric basis of obesity, deep brain stimulation (DBS) offers a less invasive and reversible alternative to available surgical treatments. In this decision analysis, the authors determined the success rate at which DBS would be equivalent to the two most common bariatric surgeries. METHOD(S): Medline searches were performed for studies of laparoscopic adjustable gastric banding (LAGB), laparoscopic Roux-en-Y gastric bypass (LRYGB), and DBS for movement disorders. Bariatric surgery was considered successful if postoperative excess weight loss exceeded 45% at 1-year follow-up. Using complication and success rates from the literature, the authors constructed a decision analysis model for treatment by LAGB, LRYGB, DBS, or no surgical treatment. A sensitivity analysis in which major parameters were systematically varied within their 95% CIs was used. RESULT(S): Fifteen studies involving 3489 and 3306 cases of LAGB and LRYGB, respectively, and 45 studies involving 2937 cases treated with DBS were included. The operative successes were 0.30 (95% CI 0.247-0.358) for LAGB and 0.968 (95% CI 0.967-0.969) for LRYGB. Sensitivity analysis revealed utility of surgical complications in LRYGB, probability of surgical complications in DBS, and success rate of DBS as having the greatest influence on outcomes. At no values did LAGB result in superior outcomes compared with other treatments. CONCLUSION(S): Deep brain stimulation must achieve a success rate of 83% to be equivalent to bariatric surgery. This high-threshold success rate is probably due to the reported success rate of LRYGB, despite its higher complication rate (33.4%) compared with DBS (19.4%). The results support further research into the role of DBS for the treatment of obesity.",2010,/,Neurosurgical focus,29,2,E15,,https://dx.doi.org/10.3171/2010.5.FOCUS10109,359531558,#184,Pisapia 2010,"",obesity; review
Deep brain stimulation in the treatment of obesity: A review,Halpern C.H.; Wolf J.A.; Bale T.L.; Stunkard A.J.; Danish S.F.; Grossman M.; Jaggi J.L.; Grady M.S.; Baltuch G.H. ,"Obesity is a growing global health problem frequently intractable to current treatment options. Recent evidence suggests that deep brain stimulation (DBS) may be effective and safe in the management of various, refractory neuropsychiatric disorders, including obesity. The authors review the literature implicating various neural regions in the pathophysiology of obesity, as well as the evidence supporting these regions as targets for DBS, in order to explore the therapeutic promise of DBS in obesity. The lateral hypothalamus and ventromedial hypothalamus are the appetite and satiety centers in the brain, respectively. Substantial data support targeting these regions with DBS for the purpose of appetite suppression and weight loss. However, reward sensation associated with highly caloric food has been implicated in overconsumption as well as obesity, and may in part explain the failure rates of conservative management and bariatric surgery. Thus, regions of the brain's reward circuitry, such as the nucleus accumbens, are promising alternatives for DBS in obesity control. The authors conclude that deep brain stimulation should be strongly considered as a promising therapeutic option for patients suffering from refractory obesity.",2008,/,Journal of Neurosurgery,109,4,625-634,,https://dx.doi.org/10.3171/JNS/2008/109/10/0625,354628334,#203,Halpern 2008,"",obesity; review
Cognitive and quality-of-life related factors of body mass index (BMI) improvement after deep brain stimulation in the subcallosal cingulate and nucleus accumbens in treatment-refractory chronic anorexia nervosa,Perez V.; Villalba-Martinez G.; Elices M.; Manero R.M.; Salgado P.; Gines J.M.; Guardiola R.; Cedron C.; Polo M.; Delgado-Martinez I.; Conesa G.; Medrano S.; Portella M.J. ,"Background: Up to 20% of the cases of anorexia nervosa (AN) are chronic and treatment-resistant. Recently, the efficacy of deep brain stimulation (DBS) for severe cases of AN has been explored, with studies showing an improvement in body mass index and other psychiatric outcomes. While the effects of DBS on cognitive domains have been studied in patients with other neurological and psychiatric conditions so far, no evidence has been gathered in AN. Method(s): Eight patients with severe, chronic, treatment-resistant AN received DBS either to the nucleus accumbens (NAcc) or subcallosal cingulate (SCC; four subjects on each target). A comprehensive battery of neuropsychological and clinical outcomes was used before and 6-month after surgery. Finding(s): Although Body Mass Index (BMI) did not normalise, statistically significant improvements in BMI, quality of life, and performance on cognitive flexibility were observed after 6 months of DBS. Changes in BMI were related to a decrease in depressive symptoms and an improvement in memory functioning. Interpretation(s): These findings, although preliminary, support the use of DBS in AN, pointing to its safety, even for cognitive functioning; improvements of cognitive flexibility are reported. DBS seems to exert changes on cognition and mood that accompany BMI increments. Further studies are needed better to determine the impact of DBS on cognitive functions.Copyright © 2022 Eating Disorders Association and John Wiley & Sons Ltd.",2022,/,European Eating Disorders Review,30,4,353-363,,https://dx.doi.org/10.1002/erv.2895,2015397249,#896,Perez 2022,"",anorexia
Deep Brain Stimulation of the Nucleus Accumbens in Severe Enduring Anorexia Nervosa: A Pilot Study,Scaife J.C.; Eraifej J.; Green A.L.; Petric B.; Aziz T.Z.; Park R.J. ,"Introduction: Anorexia nervosa (AN) is one of the most debilitating psychiatric disorders, becoming severe and enduring in a third of cases; with few effective treatments. Deep brain stimulation is a reversible, adjustable neurosurgical procedure that has been gaining ground in psychiatry as a treatment for depression and obsessive-compulsive disorder, yet few studies have investigated AN. Abnormal eating behavior and the compulsive pursuit of thinness in AN is, in part, a consequence of dysfunction in reward circuitry and the nucleus accumbens (NAcc) is central to reward processing. Method(s): Phase 1 prospective open-label pilot study of seven individuals with severe enduring AN. Electrodes were implanted bilaterally into the NAcc with stimulation at the anterior limb of the internal capsule using rechargeable implantable pulse generators. The protocol of 15 months included 12 months of deep brain stimulation incorporating two consecutive, randomized blind on-off fortnights 9 months after stimulation onset. The primary objectives were to investigate safety and feasibility, together with changes in eating disorder psychopathology. Result(s): Feasibility and safety was demonstrated with no serious adverse events due to deep brain stimulation. Three patients responded to treatment [defined as > 35% reduction in Eating Disorders Examination (EDE) score at 12 months] and four patients were non-responders. Responders had a statistically significant mean reduction in EDE scores (50.3% reduction; 95% CI 2.6-98.2%), Clinical Impairment Assessment (45.6% reduction; 95% CI 7.4-83.7%). Responders also had a statistically significant mean reduction in Hamilton Depression Scale, Hamilton Anxiety Scale and Snaith-Hamilton pleasure scale. There were no statistically significant changes in Body Mass Index, Yale-Brown-Cornell Eating Disorder Scale, Yale-Brown Obsessive-Compulsive Scale and World Health Organization Quality of Life Psychological subscale. Conclusion(s): This study provides some preliminary indication that deep brain stimulation to the NAcc. Might potentially improve some key features of enduring AN. In this small study, the three responders had comorbid obsessive-compulsive disorder which predated AN diagnosis. Future studies should aim to further elucidate predictors of outcome. Clinical Trial Registration: [www.ClinicalTrials.gov], identifier [Project ID 128658].Copyright © 2022 Scaife, Eraifej, Green, Petric, Aziz and Park.",2022,/,Frontiers in Behavioral Neuroscience,16,"(Scaife, Park) Department of Psychiatry, Warneford Hospital, University of Oxford, Oxford, United Kingdom(Scaife, Park) Oxford Health NHS Foundation Trust, Oxford, United Kingdom(Scaife, Eraifej, Green, Aziz) Nuffield Department of Surgical Sciences, John",842184,,https://dx.doi.org/10.3389/fnbeh.2022.842184,2016693901,#898,Scaife 2022,"",anorexia
Pilot study of responsive nucleus accumbens deep brain stimulation for loss-of-control eating,Shivacharan R.S.; Rolle C.E.; Barbosa D.A.N.; Cunningham T.N.; Feng A.; Johnson N.D.; Safer D.L.; Bohon C.; Keller C.; Buch V.P.; Parker J.J.; Azagury D.E.; Tass P.A.; Bhati M.T.; Malenka R.C.; Lock J.D.; Halpern C.H. ,"Cravings that precede loss of control (LOC) over food consumption present an opportunity for intervention in patients with the binge eating disorder (BED). In this pilot study, we used responsive deep brain stimulation (DBS) to record nucleus accumbens (NAc) electrophysiology during food cravings preceding LOC eating in two patients with BED and severe obesity (trial registration no. NCT03868670). Increased NAc low-frequency oscillations, prominent during food cravings, were used to guide DBS delivery. Over 6 months, we observed improved self-control of food intake and weight loss. These findings provide early support for restoring inhibitory control with electrophysiologically-guided NAc DBS. Further work with increased sample sizes is required to determine the scalability of this approach.Copyright © 2022, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.",2022,/,Nature Medicine,28,9,1791-1796,,https://dx.doi.org/10.1038/s41591-022-01941-w,2018820527,#900,Shivacharan 2022,"",obesity
A Longitudinal Magnetoencephalographic Study of the Effects of Deep Brain Stimulation on Neuronal Dynamics in Severe Anorexia Nervosa,Braeutigam S.; Scaife J.C.; Aziz T.; Park R.J. ,"Anorexia Nervosa (AN) is a debilitating psychiatric disorder characterized by the relentless pursuit of thinness, leading to severe emaciation. Magnetoencephalography (MEG)was used to record the neuronal response in seven patients with treatment-resistant AN while completing a disorder-relevant food wanting task. The patients underwent a 15-month protocol, where MEG scans were conducted pre-operatively, post-operatively prior to deep brain stimulation (DBS) switch on, twice during a blind on/off month and at protocol end. Electrodes were implanted bilaterally into the nucleus accumbens with stimulation at the anterior limb of the internal capsule using rechargeable implantable pulse generators. Three patients met criteria as responders at 12 months of stimulation, showing reductions of eating disorder psychopathology of over 35%. An increase in alpha power, as well as evoked power at latencies typically associated with visual processing, working memory, and contextual integration was observed in ON compared to OFF sessions across all seven patients. Moreover, an increase in evoked power at P600-like latencies as well as an increase in gamma-band phase-locking over anterior-to-posterior regions were observed for high- compared to low-calorie food image only in ON sessions. These findings indicate that DBS modulates neuronal process in regions far outside the stimulation target site and at latencies possibly reflecting task specific processing, thereby providing further evidence that deep brain stimulation can play a role in the treatment of otherwise intractable psychiatric disorders.Copyright © 2022 Braeutigam, Scaife, Aziz and Park.",2022,/,Frontiers in Behavioral Neuroscience,16,"(Braeutigam) Oxford Centre for Human Brain Activity, Medical Sciences Division, University of Oxford, Oxford, United Kingdom(Braeutigam) Wellcome Centre For Integrative Neuroimaging, Medical Sciences Division, University of Oxford, Oxford, United Kingdom(",841843,,https://dx.doi.org/10.3389/fnbeh.2022.841843,2017815259,#914,Braeutigam 2022,"",anorexia
Role of deep brain stimulation in management of psychiatric disorders,Messina G.; Vetrano I.G.; Bonomo G.; Broggi G. ,"Nowadays, most of patients affected by psychiatric disorders are successfully treated with conservative therapies. Still, a variable percentage of them demonstrate resistance to conventional treatments, and alternative methods can then be considered. During the last 20 years, there is a progressive interest in use of deep brain stimulation (DBS) in mental illnesses. It has become clear nowadays, that this modality may be effectively applied under specific indications in some patients with major depressive disorder, obsessive-compulsive disorder, anorexia nervosa and other eating disorders, Tourette syndrome, schizophrenia, substance use disorder, and even pathologically aggressive behavior. Despite the fact that the efficacy of neuromodulation with DBS, as well as of various lesional interventions, in cases of mental illnesses is still not fully established, there are several premises for wider applications of such ""unclassical"" psychiatric treatments in the future. Novel technologies of DBS, developments in non-invasive lesioning using stereotactic radiosurgery and transcranial magnetic resonance-guided focused ultrasound, and advances of neurophysiological and neuroimaging modalities may bolster further clinical applications of psychiatric neurosurgery, improve its results, and allow for individually selected treatment strategies tailored to specific needs of the patient.Copyright © 2022 Elsevier B.V.",2022,/,"Neurosurgical Management of Psychiatric Disorders, Part AProgress in Brain Research",270,1,61-96,,https://dx.doi.org/10.1016/bs.pbr.2022.01.026,2016884116,#916,Messina 2022,"",anorexia; non_specific; obesity; rev
Modern neurosurgical techniques for psychiatric disorders,De Salles A.; Lucena L.; Paranhos T.; Ferragut M.A.; de Oliveira-Souza R.; Gorgulho A. ,"Psychosurgery refers to an ensemble of more or less invasive techniques designed to reduce the burden caused by psychiatric diseases in patients who have failed to respond to conventional therapy. While most surgeries are designed to correct apparent anatomical abnormalities, no discrete cerebral anatomical lesion is evident in most psychiatric diseases amenable to invasive interventions. Finding the optimal surgical targets in mental illness is troublesome. In general, contemporary psychosurgical procedures can be classified into one of two primary modalities: lesioning and stimulation procedures. The first group is divided into (a) thermocoagulation and (b) stereotactic radiosurgery or recently introduced transcranial magnetic resonance-guided focused ultrasound, whereas stimulation techniques mainly include deep brain stimulation (DBS), cortical stimulation, and the vagus nerve stimulation. The most studied psychiatric diseases amenable to psychosurgical interventions are severe treatment-resistant major depressive disorder, obsessive-compulsive disorder, Tourette syndrome, anorexia nervosa, schizophrenia, and substance use disorder. Furthermore, modern neuroimaging techniques spurred the interest of clinicians to identify cerebral regions amenable to be manipulated to control psychiatric symptoms. On this way, the concept of a multi-nodal network need to be embraced, enticing the collaboration of psychiatrists, psychologists, neurologists and neurosurgeons participating in multidisciplinary groups, conducting well-designed clinical trials.Copyright © 2022 Elsevier B.V.",2022,/,"Neurosurgical Management of Psychiatric Disorders, Part AProgress in Brain Research",270,1,33-59,,https://dx.doi.org/10.1016/bs.pbr.2022.01.025,2017190756,#918,DeSalles 2022,"",anorexia; maybe; non_specific; rev
