Title,Authors,KW,MH,DU,OD,Abstract,Journal,Published Year
"Endocannabinoids in brain plasticity: Cortical maturation, HPA axis function and behavior.","Dow-Edwards D.

Silva L.","HPA axis development

PFC prefrontal cortex

Pruning and endocannabinoids

Sex differences

Stress and CB receptors

Stress and CB responses","adolescence

amygdala

anxiety

brain depth stimulation

brain maturation

cannabis use

drug abuse

early life stress

hippocampus

human

hypothalamus

*hypothalamus hypophysis adrenal system

maternal deprivation

memory

neocortex

*nerve cell plasticity

nonhuman

prefrontal cortex

priority journal

review

cannabis

*endocannabinoid/ec [Endogenous Compound]","cannabis

*endocannabinoid / *endogenous compound","adolescence

amygdala

anxiety

brain depth stimulation

brain maturation

cannabis use

drug abuse

early life stress

hippocampus

human

hypothalamus

*hypothalamus hypophysis adrenal system

maternal deprivation

memory

neocortex

*nerve cell plasticity

nonhuman

prefrontal cortex

priority journal

Review","Marijuana use during adolescence has reached virtually every strata of society. The general population has the perception that marijuana use is safe for mature people and therefore is also safe for developing adolescents. However, both clinical and preclinical research shows that marijuana use, particularly prior to age 16, could have long-term effects on cognition, anxiety and stress-related behaviors, mood disorders and substance abuse. These effects derive from the role of the endocannabinoid system, the endogenous cannabinoid system, in the development of cortex, amygdala, hippocampus and hypothalamus during adolescence. Endocannabinoids are necessary for normal neuronal excitation and inhibition through actions at glutamate and GABA terminals. Synaptic pruning at excitatory synapses and sparing of inhibitory synapses likely results in changes in the balance of excitation/inhibition in individual neurons and within networks; processes which are necessary for normal cortical development. The interaction between prefrontal cortex (PFC), amygdala and hippocampus is responsible for emotional memory, anxiety-related behaviors and drug abuse and all utilize the endogenous cannabinoid system to maintain homeostasis. Also, endocannabinoids are required for fast and slow feedback in the normal stress response, processes which mature during adolescence. Therefore, exogenous cannabinoids, such as marijuana, have the potential to alter the course of development of each of these major systems (limbic, hypothalamic-pituitary-adrenal (HPA) axis and neocortex) if used during the critical period of brain development, adolescence. This article is part of a Special Issue entitled SI: Adolescent plasticity.Copyright © 2016 Elsevier B.V.",Brain Research,01-Jan-17
Electrophysiological evidence for hyperfocusing of spatial attention in schizophrenia.,"Kreither J.

Lopez-Calderon J.

Leonard C.J.

Robinson B.M.

Ruffle A.

Hahn B.

Gold J.M.

Luck S.J.","Attention

Event-related potential

Hyperfocusing

P300

Schizophrenia","adult

article

behavior

brain depth recording

brain depth stimulation

brain electrophysiology

Brief Psychiatric Rating Scale

clinical article

cognitive defect

controlled study

DSM-IV

electroencephalography

electrooculography

event related potential

female

human

male

neurologic disease

neuropsychological test

personality disorder

Positive and Negative Syndrome Scale

priority journal

*schizophrenia/di [Diagnosis]

schizophrenia spectrum disorder

substance abuse

antidepressant agent

antiparkinson agent

anxiolytic agent

E1A associated p300 protein/ec [Endogenous Compound]

mood stabilizer","antidepressant agent

antiparkinson agent

anxiolytic agent

E1A associated p300 protein / endogenous compound

mood stabilizer","adult

Article

behavior

brain depth recording

brain depth stimulation

brain electrophysiology

Brief Psychiatric Rating Scale

clinical article

cognitive defect

controlled study

DSM-IV

electroencephalography

electrooculography

event related potential

female

human

male

neurologic disease

neuropsychological test

personality disorder

Positive and Negative Syndrome Scale

priority journal

*schizophrenia / *diagnosis

schizophrenia spectrum disorder

substance abuse","A recently proposed hyperfocusing hypothesis of cognitive dysfunction in schizophrenia proposes that people with schizophrenia (PSZ) tend to concentrate processing resources more narrowly but more intensely than healthy control subjects (HCS). The present study tests a key prediction of this hypothesis, namely, that PSZ will hyperfocus on information presented at the center of gaze. This should lead to greater filtering of peripheral stimuli when the task requires focusing centrally but reduced filtering of central stimuli when the task requires attending broadly in the periphery. These predictions were tested in a double oddball paradigm, in which frequent standard stimuli and rare oddball stimuli were presented at central and peripheral locations while event-related potentials were recorded. Participants were instructed to discriminate between the standard and oddball stimuli at either the central location or at the peripheral locations. PSZ and HCS showed opposite patterns of spatial bias at the level of early sensory processing, as assessed with the P1 component: PSZ exhibited stronger sensory suppression of peripheral stimuli when the task required attending narrowly to the central location, whereas HCS exhibited stronger sensory suppression of central stimuli when the task required attending broadly to the peripheral locations. Moreover, PSZ exhibited a stronger stimulus categorization response than HCS, as assessed with the P3b component, for central stimuli when the task required attending to the peripheral region. These results provide strong evidence of hyperfocusing in PSZ, which may provide a unified mechanistic account of multiple aspects of cognitive dysfunction in schizophrenia.Copyright © 2017 the authors.",Journal of Neuroscience,05-Apr-17
The role of science in the opioid crisis.,"Glare P.A.

Nicholas M.K.

Blyth F.M.",,"brain depth stimulation

chronic pain

drug misuse

follow up

gene therapy

human

letter

*opiate addiction

*patient care

priority journal

psychological aspect

self care

social aspect

stretching exercise

*opiate",*opiate,"brain depth stimulation

chronic pain

drug misuse

follow up

gene therapy

human

Letter

*opiate addiction

*patient care

priority journal

psychological aspect

self care

social aspect

stretching exercise",,New England Journal of Medicine,02-Nov-17
Outcome of non-invasive brain stimulation in substance use disorders: A review of randomized sham-controlled clinical trials.,"Trojak B.

Sauvaget A.

Fecteau S.

Lalanne L.

Chauvet-Gelinier J.-C.

Koch S.

Bulteau S.

Zullino D.

Achab S.",,"anxiety

*brain depth stimulation

clinical assessment

clinical practice

cognition

craving

dorsal anterior cingulate cortex

*drug dependence/th [Therapy]

human

neuromodulation

outcome assessment

priority journal

review

therapy effect

tobacco consumption

tobacco dependence

non invasive brain stimulation",,"anxiety

*brain depth stimulation

clinical assessment

clinical practice

cognition

craving

dorsal anterior cingulate cortex

*drug dependence / *therapy

human

neuromodulation

outcome assessment

priority journal

Review

therapy effect

tobacco consumption

tobacco dependence","Non-invasive brain stimulation (NIBS) might be a new approach to treat substance use disorders (SUD). A systematic review and critical analysis was performed to identify potential therapeutic effects of NIBS on addictions. A search of the Medline database was conducted for randomized sham-controlled trials using NIBS in the field of addiction and published until August 2016. Twenty-six studies in various SUD met the inclusion criteria. Converging evidence indicates that NIBS might be a promising mean to treat patients with alcohol and tobacco use disorders, by acting on craving reduction and other mechanisms such as improvement in cognitive dysfunctions.Copyright © 2017, American Psychiatric Association. All rights reserved.",Journal of Neuropsychiatry and Clinical Neurosciences,Spring 2017
Resurgence of psychosurgery: Modern neurosurgery for mental disorders.,"Tansirisithikul C.

Sitthinamsuwan B.","Psychiatric disorder

Psychosurgery

Stereotactic surgery","anorexia nervosa

article

brain depth stimulation

brain electrophysiology

drug dependence

electroconvulsive therapy

Gilles de la Tourette syndrome

history of medicine

human

intractable epilepsy

major depression

*mental disease/su [Surgery]

*mental disease/th [Therapy]

neuroanatomy

neuromodulation

neurosurgeon

nuclear magnetic resonance imaging

obsessive compulsive disorder

patient selection

*psychosurgery

psychotherapy

vagus nerve stimulation

amygdalotomy

anterior capsulotomy

anterior cingulotomy

limbic leucotomy

subcaudate tractotomy",,"anorexia nervosa

Article

brain depth stimulation

brain electrophysiology

drug dependence

electroconvulsive therapy

Gilles de la Tourette syndrome

history of medicine

human

intractable epilepsy

major depression

*mental disease / *surgery / *therapy

neuroanatomy

neuromodulation

neurosurgeon

nuclear magnetic resonance imaging

obsessive compulsive disorder

patient selection

*psychosurgery

psychotherapy

vagus nerve stimulation","Background: A significant percentage of psychiatric patients fail all treatment modalities including drugs, psychotherapy and electroconvulsive therapy. Modern psychosurgery is a viable option in these patients. Also the history of psychosurgery is very interesting and still influencing public perception nowadays. Objective(s): The surgery aim to improve disabling symptoms of patients with minimal complications. Material(s) and Method(s): Medical literatures were reviewed by the authors regarding history, surgical procedures and results. Result(s): Once almost extinct, psychosurgery now becomes more important therapeutic role for treatment of psychiatric diseases. Improved neurosurgical techniques led to significant drop in morbidity and mortality. Although not perfect, better understanding of pathophysiology also led to more precise target for therapy with hopefully more efficacy. Recently, there is trend toward reversible neuromodulation instead of ablative procedures. For psychiatric diseases, such as obsessive compulsive disease and major depressive disorder, substantial numbers of patients fail combination of standard treatments: drugs, psychotherapy and electroconvulsive therapy which have grave prognosis. The need for effective therapy and advanced in knowledge in this field will lead to expanded use of psychosurgery in the near future. Conclusion(s): History of psychosurgery is reviewed. Principle of pathophysiology, patient selection processes and perioperative management are described. Surgical procedures both ablative surgery and neuromodulation are demonstrated as well.Copyright © 2017, Medical Association of Thailand. All rights reserved.",Journal of the Medical Association of Thailand,2017
A framework for understanding sexual violence: Incentive-motivation and hierarchical control.,"Toates F.

Smid W.

van den Berg J.W.","Dominance

Dopamine

Hierarchy

Inhibition

Motivation

Rape","aggression

alcohol consumption

*behavior control

brain depth stimulation

brain development

cognition

*conceptual framework

dopaminergic system

drug dependence

habituation

human

impulsiveness

mental stress

motivation

priority journal

psychopathy

rape

review

sensation seeking

sexual addiction

sexual crime

*sexual violence

social environment

theoretical model

dopamine/ec [Endogenous Compound]",dopamine / endogenous compound,"aggression

alcohol consumption

*behavior control

brain depth stimulation

brain development

cognition

*conceptual framework

dopaminergic system

drug dependence

habituation

human

impulsiveness

mental stress

motivation

priority journal

psychopathy

rape

Review

sensation seeking

sexual addiction

sexual crime

*sexual violence

social environment

theoretical model","The article applies an incentive-motivation model to sexual violence. It suggests that insights can be gained by looking at the biopsychological processes that underlie 'conventional behavior'. It argues that sexual violence, as in rape, arises from a fusion between (i) sexual motivation and (ii) sensation-seeking and varying strengths of dominance/aggression motivations. The excitatory part of the motivational system is rooted in brain dopamine and sexual violence is expressed in behavior when excitation exceeds inhibition. The assumptions are framed within the principle of the hierarchical control of behavior. The incentive-motivation and hierarchical framework can yield insights into such phenomena as planning and impulsivity, future discounting, habituation and escalation, violence as addiction, the role of fetishes, sexual fantasy, stress, drugs and brain development.Copyright © 2017 Elsevier Ltd",Aggression and Violent Behavior,May-17
"Addiction, cognitive decline and therapy: seeking ways to escape a vicious cycle.","Perry C.J.

Lawrence A.J.","Abstinence

addiction

animal models

behavioral therapy

cognition

cognitive enhancement

cognitive impairment

exercise

relapse

substance use disorder

therapy","*addiction/dt [Drug Therapy]

*addiction/th [Therapy]

addiction/dt [Drug Therapy]

behavior change

behavior therapy

brain depth stimulation

catecholaminergic system

cognitive behavioral therapy

*cognitive defect

cognitive therapy

drug dependence

*drug seeking behavior

exercise

exposure therapy

human

motivational interviewing

nonhuman

priority journal

review

support group

cholinergic receptor stimulating agent/ec [Endogenous Compound]

drugs used in the treatment of addiction/dt [Drug Therapy]

glutamic acid/ec [Endogenous Compound]

exposure based therapy","cholinergic receptor stimulating agent / endogenous compound

drugs used in the treatment of addiction / drug therapy

glutamic acid / endogenous compound","*addiction / *drug therapy / *therapy

addiction / drug therapy

behavior change

behavior therapy

brain depth stimulation

catecholaminergic system

cognitive behavioral therapy

*cognitive defect

cognitive therapy

drug dependence

*drug seeking behavior

exercise

exposure therapy

human

motivational interviewing

nonhuman

priority journal

Review

support group","Any type of behavioral change is an effortful process. Thus, the process of behavioral therapy, where clients seek to change maladaptive behavioral patterns, requires high-level cognitive engagement. It is unfortunate, then, that cognitive impairment is a feature of substance use disorders (SUDs), and especially because the domains that tend to be impaired are the very ones involved in the process of therapeutic behavioral change. In this review, we compare the cognitive profile that is frequently observed with chronic SUD with the skills that are required to initiate and sustain behavioral change during rehabilitation. Furthermore, we look to new therapeutic developments that seek to improve cognitive function. We propose that the use of these cognitive enhancing agents as adjuncts to behavioral therapy should help to overcome some of the cognitive barriers imposed by the disorder itself, and hence reduce the chance of relapse.Copyright © 2016 John Wiley & Sons Ltd and International Behavioural and Neural Genetics Society","Genes, Brain and Behavior",01-Jan-17
Neurosurgery of the future: Deep brain stimulations and manipulations.,Nicolaidis S.,"Brain repair

Closed-loop deep brain stimulation

Intra-brain micro-injection

Schizophrenia","article

*brain depth stimulation

brain region

connectome

functional anatomy

human

nervous tissue

neuroanatomy

neuropathology

*neurosurgery

priority journal

neurotransmitter/ec [Endogenous Compound]

deep brain manipulation",neurotransmitter / endogenous compound,"Article

*brain depth stimulation

brain region

connectome

functional anatomy

human

nervous tissue

neuroanatomy

neuropathology

*neurosurgery

priority journal","Important advances are afoot in the field of neurosurgery-particularly in the realms of deep brain stimulation (DBS), deep brain manipulation (DBM), and the newly introduced refinement ""closed-loop"" deep brain stimulation (CLDBS). Use of closed-loop technology will make both DBS and DBM more precise as procedures and will broaden their indications. CLDBS utilizes as feedback a variety of sources of electrophysiological and neurochemical afferent information about the function of the brain structures to be treated or studied. The efferent actions will be either electric, i.e. the classic excitatory or inhibitory ones, or micro-injection of such things as neural proteins and transmitters, neural grafts, implants of pluripotent stem cells or mesenchymal stem cells, and some variants of gene therapy. The pathologies to be treated, beside Parkinson's disease and movement disorders, include repair of neural tissues, neurodegenerative pathologies, psychiatric and behavioral dysfunctions, i.e. schizophrenia in its various guises, bipolar disorders, obesity, anorexia, drug addiction, and alcoholism. The possibility of using these new modalities to treat a number of cognitive dysfunctions is also under consideration. Because the DBS-CLDBS technology brings about a cross-fertilization between scientific investigation and surgical practice, it will also contribute to an enhanced understanding of brain function.Copyright © 2017",Metabolism: Clinical and Experimental,01-Apr-17
State of the Art: Novel Applications for Cortical Stimulation.,"De Ridder D.

Perera S.

Vanneste S.","Addiction

cortex

depression

movement disorder

obsessive compulsive disorder

pain

stimulation

tinnitus","alcoholism/su [Surgery]

anterior cingulate

auditory cortex

bleeding/co [Complication]

*brain depth stimulation

cerebrovascular accident/rh [Rehabilitation]

cerebrovascular accident/su [Surgery]

depression/su [Surgery]

depression/th [Therapy]

device failure

device infection/co [Complication]

dorsolateral prefrontal cortex

dystonia/su [Surgery]

electrode

electrode implantation

epilepsy/su [Surgery]

essential tremor/su [Surgery]

hippocampus

human

implantable pulse generator

infection/co [Complication]

motor cortex

neurorehabilitation

nonhuman

obsessive compulsive disorder/su [Surgery]

pain/su [Surgery]

Parkinson disease/su [Surgery]

prediction

preoperative period

psychotherapy

repetitive transcranial magnetic stimulation

review

seizure/co [Complication]

skin ulcer/co [Complication]

somatosensory cortex

spasticity/su [Surgery]

therapy effect

tinnitus/su [Surgery]

treatment outcome

treatment response

electrode/am [Adverse Device Effect]

transcranial alternating current stimulation",,"alcoholism / surgery

anterior cingulate

auditory cortex

bleeding / complication

*brain depth stimulation

cerebrovascular accident / rehabilitation / surgery

depression / surgery / therapy

device failure

device infection / complication

dorsolateral prefrontal cortex

dystonia / surgery

electrode

electrode implantation

epilepsy / surgery

essential tremor / surgery

hippocampus

human

implantable pulse generator

infection / complication

motor cortex

neurorehabilitation

nonhuman

obsessive compulsive disorder / surgery

pain / surgery

Parkinson disease / surgery

prediction

preoperative period

psychotherapy

repetitive transcranial magnetic stimulation

Review

seizure / complication

skin ulcer / complication

somatosensory cortex

spasticity / surgery

therapy effect

tinnitus / surgery

treatment outcome

treatment response","Objective: Electrical stimulation via implanted electrodes that overlie the cortex of the brain is an upcoming neurosurgical technique that was hindered for a long time by insufficient knowledge of how the brain functions in a dynamic, physiological, and pathological way, as well as by technological limitations of the implantable stimulation devices. Method(s): This paper provides an overview of cortex stimulation via implantable devices and introduces future possibilities to improve cortex stimulation. Result(s): Cortex stimulation was initially used preoperatively as a technique to localize functions in the brain and only later evolved into a treatment technique. It was first used for pain, but more recently a multitude of pathologies are being targeted by cortex stimulation. These disorders are being treated by stimulating different cortical areas of the brain. Risks and complications are essentially similar to those related to deep brain stimulation and predominantly include haemorrhage, seizures, infection, and hardware failures. For cortex stimulation to fully mature, further technological development is required to predict its outcomes and improve stimulation designs. This includes the development of network science-based functional connectivity approaches, genetic analyses, development of navigated high definition transcranial alternating current stimulation, and development of pseudorandom stimulation designs for preventing habituation. Conclusion(s): In conclusion, cortex stimulation is a nascent but very promising approach to treating a variety of diseases, but requires further technological development for predicting outcomes, such as network science based functional connectivity approaches, genetic analyses, development of navigated transcranial electrical stimulation, and development of pseudorandom stimulation designs for preventing habituation.Copyright © 2017 International Neuromodulation Society",Neuromodulation,01-Apr-17
New perspectives on the course and treatment of bipolar disorder.,Post R.M.,"Comorbidity

Epigenesis

Genetic

Psychopharmacology","alcohol abuse

anxiety disorder

*bipolar disorder/dt [Drug Therapy]

bipolar disorder/dt [Drug Therapy]

brain depth stimulation

central nervous system sensitization

comorbidity

disease course

drug dependence

epigenetics

family history

human

incidence

kindling

nonhuman

prevalence

review

seizure

social psychology

substance use

antidepressant agent

lithium/dt [Drug Therapy]","antidepressant agent

lithium / drug therapy","alcohol abuse

anxiety disorder

*bipolar disorder / *drug therapy

bipolar disorder / drug therapy

brain depth stimulation

central nervous system sensitization

comorbidity

disease course

drug dependence

epigenetics

family history

human

incidence

kindling

nonhuman

prevalence

Review

seizure

social psychology

substance use","Bipolar disorder as it is currently treated in the community and in academic settings is associated with a surprisingly high-degree morbidity and treatment resistance. While some of this poor outcome may be due to inherent difficulties of the illness itself, much of the difficulty appears attributable to less than optimal pharmacotherapeutic approaches and patient education about the illness. We emphasize the conceptualization of the illness progressing in an untoward direction, driven by several types of sensitization mechanisms, each involving epigenetic changes. Epigenetics refers to environmentally-induced chemical changes in DNA, histones, and micro RNAstructure and function which endure in a long-lasting fashion. This potential for accumulating epigenetic marks from recurrent stressors, episodes and bouts of substance abuse speaks to the importance of early and consistent long term pharmacoprophylaxis starting after a first episode of mania in order to prevent illness progression. We review the emerging evidence for a new recommendation for ultraintensive treat-ment after a first manic episode and the wealth of data indicating the importance of having lithium involved in the treatment regimen. Problems of bipolar illness morbidity and treatment resistance are particularly pronounced in the United States (USA). Compared to many European countries, bipolar illness in the USAappears to have an earlier age of onset, run a more difficult course, and have more psychiatric and medical comorbidities. This greater complexity of illness typically requires not monotherapy as is often recommended, but complex combination therapy with multiple medications targeting multiple symptoms and pathways. If instituted judiciously, the use of more medications can lead not only to better efficacy, but also, contrary to convention wisdom, fewer side effects. It is hoped that reconceptualization of bipolar illness as a progressive one that can undergo malignant transformation if not adequately treated will help lead to revisions in conventional treatment practices that will render the illness more benign it its long-Term outcome.Copyright © 2017 edizioni minerva medica.",Minerva Psichiatrica,Mar-17
Clinical analysis and treatment of symptomatic intracranial hemorrhage after deep brain stimulation surgery.,"Wang J.

Zhao H.

Li N.

Ge S.

Chen L.

Li J.

Jing J.

Su M.

Zheng Z.

Zhang J.

Gao G.

Wang X.","clinical analysis

Deep brain stimulation

intracranial hemorrhage

Parkinson's disease

treatment","adolescent

adult

aged

anorexia nervosa

article

ataxic aphasia

atrial fibrillation

blood clot

blood pressure measurement

bone graft

*brain depth stimulation

brain hematoma

*brain hemorrhage/su [Surgery]

clinical feature

conservative treatment

cranioplasty

craniotomy

decompressive craniectomy

drug dependence

dystonia

electrode implantation

encephalomalacia

essential tremor

facial nerve paralysis

female

follow up

Gilles de la Tourette syndrome

Glasgow coma scale

hemiplegia

human

Huntington chorea

hypertension

major clinical study

male

microelectrode

minimally conscious state

myocutaneous flap

neurologic disease

neurologic examination

nuclear magnetic resonance imaging

obsessive compulsive disorder

Parkinson disease

pneumocephalus

postoperative period

priority journal

seizure

skull defect

subarachnoid hemorrhage

subdural hematoma

tonic clonic seizure

treatment outcome

treatment resistant depression

tremor

unconsciousness

vomiting

batroxobin

mannitol

valproic acid

vasodilator agent

frontal lobe hemorrhage

*symptomatic intracranial hemorrhage/su [Surgery]","batroxobin

mannitol

valproic acid

vasodilator agent","adolescent

adult

aged

anorexia nervosa

Article

ataxic aphasia

atrial fibrillation

blood clot

blood pressure measurement

bone graft

*brain depth stimulation

brain hematoma

*brain hemorrhage / *surgery

clinical feature

conservative treatment

cranioplasty

craniotomy

decompressive craniectomy

drug dependence

dystonia

electrode implantation

encephalomalacia

essential tremor

facial nerve paralysis

female

follow up

Gilles de la Tourette syndrome

Glasgow coma scale

hemiplegia

human

Huntington chorea

hypertension

major clinical study

male

microelectrode

minimally conscious state

myocutaneous flap

neurologic disease

neurologic examination

nuclear magnetic resonance imaging

obsessive compulsive disorder

Parkinson disease

pneumocephalus

postoperative period

priority journal

seizure

skull defect

subarachnoid hemorrhage

subdural hematoma

tonic clonic seizure

treatment outcome

treatment resistant depression

tremor

unconsciousness

vomiting","Background: Symptomatic intracranial hemorrhage (ICH) may lead to permanent neurological disability of patients and has impeded the extensive clinical application of deep brain stimulation (DBS). The present study was conducted to discuss the incidence, prevention, and treatment of symptomatic ICH after DBS surgery. Method(s): From January 2009 to December 2014, 396 patients underwent DBS with a total of 691 implanted leads. In all, 10 patients had symptomatic ICH. We analyzed these cases' clinical characteristics, including comorbid diagnoses and coagulation profile. We described the onset of ICH, imaging features, clinical manifestations, treatment, neurological impairment, and outcome of DBS. Result(s): Of the 10 patients with symptomatic ICH, 2 had hypertension. Three cases of ICH occurred within 12 h of the procedure; four cases within 24 h. Five experienced grand mal seizures concurrently with hemorrhage. Unilateral frontal lobe hemorrhage occurred in all cases. In seven cases, hematomas occurred around the electrodes. Some hematomas were not well-circumscribed and had perihematomal edema. Conservative therapy was administered to 8 patients, and 2 patients underwent craniotomy and hematoma evacuation. All electrodes were successfully preserved. Neurological dysfunction in all patients gradually improved. Nine patients ultimately experienced effective symptom relief of Parkinson's disease with DBS. Conclusion(s): Symptomatic ICH should be identified as soon as possible after implantation surgery and treated effectively to limit neurological deficit and preserve DBS leads.Copyright © 2016 The Neurosurgical Foundation.",British Journal of Neurosurgery,04-Mar-17
Increased sexual arousal in patients with movement disorders.,"Teive H.A.G.

Moro A.

Moscovich M.

Munhoz R.P.","Hypersexual disorder

Hypersexuality

Increased of sexual arousal

Movement disorders","acquired immune deficiency syndrome

adult

aged

article

brain depth stimulation

clinical article

clinical trial

drug abuse

drug megadose

DSM-5

exhibitionism disorder

female

Gilles de la Tourette syndrome

human

Huntington chorea

male

masturbation

*motor dysfunction

Parkinson disease

pedophilia disorder

prospective study

psychotherapy

*sexual arousal disorder/dt [Drug Therapy]

sexual promiscuity

spinocerebellar degeneration

buspirone/ct [Clinical Trial]

buspirone/dt [Drug Therapy]

clonazepam/ct [Clinical Trial]

clonazepam/cb [Drug Combination]

clonazepam/dt [Drug Therapy]

fluphenazine/ct [Clinical Trial]

fluphenazine/cb [Drug Combination]

fluphenazine/dt [Drug Therapy]

haloperidol/ct [Clinical Trial]

haloperidol/dt [Drug Therapy]

levodopa

olanzapine/ct [Clinical Trial]

olanzapine/dt [Drug Therapy]

pramipexole","buspirone / clinical trial / drug therapy

clonazepam / clinical trial / drug combination / drug therapy

fluphenazine / clinical trial / drug combination / drug therapy

haloperidol / clinical trial / drug therapy

levodopa

olanzapine / clinical trial / drug therapy

pramipexole","acquired immune deficiency syndrome

adult

aged

Article

brain depth stimulation

clinical article

clinical trial

drug abuse

drug megadose

DSM-5

exhibitionism disorder

female

Gilles de la Tourette syndrome

human

Huntington chorea

male

masturbation

*motor dysfunction

Parkinson disease

pedophilia disorder

prospective study

psychotherapy

*sexual arousal disorder / *drug therapy

sexual promiscuity

spinocerebellar degeneration","Increased of sexual arousal (ISA) has been described in different neurological diseases. The purpose of this study was present a case series of ISA in patients with movement disorders. Method(s): Fifteen patients with different forms of movement disorders (Parkinson's disease, Huntington's disease, Tourette's syndrome, spinocerebellar ataxia type 3), were evaluated in the Movement Disorders Unit of the Federal University of Parana. Result(s): Among Parkinson's disease patients there were seven cases with different forms of ISA due to dopaminergic agonist use, levodopa abuse, and deep brain stimulation (DBS). In the group with hyperkinetic disorders, two patients with Huntington's disease, two with Tourette's syndrome, and four with spinocerebellar ataxia type 3 presented with ISA. Conclusion(s): ISA in this group of patients had different etiologies, predominantly related to dopaminergic treatment or DBS in Parkinson's disease, part of the background clinical picture in Huntington's disease and Tourette's syndrome, and probably associated with cultural aspects in patients with spinocerebellar ataxia type 3.Copyright © 2016, Associacao Arquivos de Neuro-Psiquiatria. All rights reserved.",Arquivos de Neuro-Psiquiatria,2016
Mechanisms of deep brain stimulation.,"Herrington T.M.

Cheng J.J.

Eskandar E.N.","Basic science of clinical practice

Deep brain stimulation

Dystonia

Obsessive-compulsive disorder

Parkinson's disease

Tremor","addiction/th [Therapy]

Alzheimer disease/th [Therapy]

anorexia/th [Therapy]

bradykinesia/th [Therapy]

*brain depth stimulation

chorea/th [Therapy]

chronic pain/th [Therapy]

clinical practice

cluster headache/th [Therapy]

depression/th [Therapy]

dystonia

epilepsy/th [Therapy]

essential tremor/th [Therapy]

Gilles de la Tourette syndrome/th [Therapy]

human

nerve cell plasticity

nervous system development

neuromodulation

neuroprotection

obesity/th [Therapy]

obsessive compulsive disorder

oscillation

Parkinson disease

priority journal

review

schizophrenia/th [Therapy]

tinnitus/th [Therapy]

treatment indication

tremor/th [Therapy]",,"addiction / therapy

Alzheimer disease / therapy

anorexia / therapy

bradykinesia / therapy

*brain depth stimulation

chorea / therapy

chronic pain / therapy

clinical practice

cluster headache / therapy

depression / therapy

dystonia

epilepsy / therapy

essential tremor / therapy

Gilles de la Tourette syndrome / therapy

human

nerve cell plasticity

nervous system development

neuromodulation

neuroprotection

obesity / therapy

obsessive compulsive disorder

oscillation

Parkinson disease

priority journal

Review

schizophrenia / therapy

tinnitus / therapy

treatment indication

tremor / therapy","Deep brain stimulation (DBS) is widely used for the treatment of movement disorders including Parkinson's disease, essential tremor, and dystonia and, to a lesser extent, certain treatment-resistant neuropsychiatric disorders including obsessive-compulsive disorder. Rather than a single unifying mechanism, DBS likely acts via several, nonexclusive mechanisms including local and network-wide electrical and neurochemical effects of stimulation, modulation of oscillatory activity, synaptic plasticity, and, potentially, neuroprotection and neurogenesis. These different mechanisms vary in importance depending on the condition being treated and the target being stimulated. Here we review each of these in turn and illustrate how an understanding of these mechanisms is inspiring next-generation approaches to DBS.Copyright © 2016 the American Physiological Society.",Journal of Neurophysiology,08-Jan-16
Proceedings of the fourth annual deep brain stimulation think tank: A review of emerging issues and technologies.,"Deeb W.

Giordano J.J.

Rossi P.J.

Mogilner A.Y.

Gunduz A.

Judy J.W.

Klassen B.T.

Butson C.R.

Horne C.V.

Deny D.

Dougherty D.D.

Rowell D.

Gerhardt G.A.

Smith G.S.

Ponce F.A.

Walker H.C.

Bronte-Stewart H.M.

Mayberg H.S.

Chizeck H.J.

Langevin J.-P.

Volkmann J.

Ostrem J.L.

Shute J.B.

Jimenez-Shahed J.

Foote K.D.

Shukla A.W.

Rossi M.A.

Oh M.

Pourfar M.

Rosenberg P.B.

Silburn P.A.

De Hemptine C.

Starr P.A.

Denison T.

Akbar U.

Grill W.M.

Okun M.S.","Alzheimer's disease

Closed-loop

DARPA

Deep brain stimulation

Depression

Parkinson's disease

Post-traumatic stress disorder

Tourette syndrome","addiction/th [Therapy]

Alzheimer disease/th [Therapy]

article

*brain depth stimulation

depression/th [Therapy]

epilepsy/th [Therapy]

essential tremor/th [Therapy]

Gilles de la Tourette syndrome/th [Therapy]

human

neurosurgery

obesity/th [Therapy]

Parkinson disease/th [Therapy]

posttraumatic stress disorder/th [Therapy]

sensor",,"addiction / therapy

Alzheimer disease / therapy

Article

*brain depth stimulation

depression / therapy

epilepsy / therapy

essential tremor / therapy

Gilles de la Tourette syndrome / therapy

human

neurosurgery

obesity / therapy

Parkinson disease / therapy

posttraumatic stress disorder / therapy

sensor","This paper provides an overview of current progress in the technological advances and the use of deep brain stimulation (DBS) to treat neurological and neuropsychiatric disorders, as presented by participants of the Fourth Annual DBS Think Tank, which was convened in March 2016 in conjunction with the Center for Movement Disorders and Neurorestoration at the University of Florida, Gainesveille FL, USA. The Think Tank discussions first focused on policy and advocacy in DBS research and clinical practice, formation of registries, and issues involving the use of DBS in the treatment of Tourette Syndrome. Next, advances in the use of neuroimaging and electrochemical markers to enhance DBS specificity were addressed. Updates on ongoing use and developments of DBS for the treatment of Parkinson's disease, essential tremor, Alzheimer's disease, depression, post-traumatic stress disorder, obesity, addiction were presented, and progress toward innovation(s) in closed-loop applications were discussed. Each section of these proceedings provides updates and highlights of new information as presented at this year's international Think Tank, with a view toward current and near future advancement of the field.Copyright © 2016 Deeb.",Frontiers in Integrative Neuroscience,22-Nov-16
